DeviceID,ClientID,ClientName,DeviceType,DeviceStatus,IssuesReported,ChangeRequestDate,ChangeCompletionDate,UpdateRequired,UpdateStatus,ResolutionTimeDays,CostoReparacion,Country,EfectividadAntesCambio,EfectividadDespuesCambio
D0060,C001,Miguel Vargas,monitor,Inactivo,Imagen borrosa,09/06/2023,14/03/2024,no,Completada,279,2228,Brasil,57.36,84.78
D0061,C005,Isabel Ramos,camara,Activo,No conecta bien,09/03/2023,17/12/2023,si,Pendiente,283,2113,Cuba,60.19,93.12
D0062,C001,Sofia Torres,gps,Activo,No reconoce los datos,11/04/2024,23/09/2024,no,Completada,165,1615,Dominica,72.43,96.69
D0063,C002,Lucia Garcia,monitor,Inactivo,Desconexion espontanea,11/02/2023,20/04/2023,no,Pendiente,68,1579,Ecuador,71.07,88.47
D0064,C003,Jorge Rodriguez,camara,En mantenimiento,Imagen borrosa,11/11/2024,31/12/2024,no,Pendiente,50,2994,Saint Vincent y las Granadinas,62.17,82.04
D0065,C010,Antonio Garcia,monitor,En mantenimiento,No conecta bien,11/11/2024,11/11/2024,no,Completada,0,2648,Ecuador,77.41,99.8
D0066,C002,Maria Ortega,gps,Inactivo,No reconoce los datos,26/08/2024,09/12/2024,si,Completada,105,2215,Republica Dominicana,62.28,82.07
D0067,C008,Antonio Perez,gps,Activo,Desconexion espontanea,20/02/2023,16/05/2024,si,Pendiente,451,2782,Panama,78.48,98.01
D0068,C008,Carmen Ortega,monitor,En mantenimiento,Imagen borrosa,14/07/2024,19/07/2024,si,Pendiente,5,2072,Honduras,64.34,86.87
D0069,C010,Francisco Gomez,gps,Inactivo,No conecta bien,12/05/2023,26/02/2024,no,Pendiente,290,2192,Ecuador,68.24,92.6
D0070,C005,Luis Torres,camara,En mantenimiento,No reconoce los datos,07/10/2023,28/02/2024,si,Pendiente,144,1771,Dominica,53.73,87.69
D0071,C004,Juan Rodriguez,gps,En mantenimiento,Desconexion espontanea,28/05/2024,01/09/2024,no,Pendiente,96,2269,Paraguay,56.18,94.56
D0072,C005,Andrea Castillo,monitor,En mantenimiento,Imagen borrosa,19/03/2023,22/05/2024,no,Completada,430,2378,Honduras,71.39,85.02
D0073,C009,Valeria Hernandez,camara,En mantenimiento,No conecta bien,20/07/2024,13/09/2024,si,Completada,55,1725,Honduras,71.74,83.16
D0074,C002,Miguel Martinez,monitor,Activo,No reconoce los datos,29/05/2024,04/08/2024,no,Completada,67,2813,Chile,61.2,88.82
D0075,C002,Diego Ramos,monitor,Activo,Desconexion espontanea,02/12/2024,25/12/2024,no,Completada,23,2373,Costa Rica,50.57,93.08
D0076,C001,Carlos Castillo,monitor,En mantenimiento,Imagen borrosa,26/06/2023,06/01/2024,no,Pendiente,194,2004,Dominica,77.11,97.66
D0077,C005,Carmen Garcia,monitor,Inactivo,No conecta bien,09/01/2024,31/12/2024,si,Completada,357,1743,Paraguay,78.51,95.34
D0078,C002,Maria Mendoza,gps,Activo,No reconoce los datos,18/10/2023,07/08/2024,no,Pendiente,294,1506,Argentina,57.97,86.84
D0079,C002,Carmen Lopez,monitor,En mantenimiento,Desconexion espontanea,16/03/2023,30/08/2023,no,Pendiente,167,2662,Antigua y Barbuda,70.41,97.61
D0080,C008,Elena Diaz,gps,Inactivo,Imagen borrosa,28/01/2024,30/10/2024,no,Pendiente,276,2718,Venezuela,65.08,88.37
D0081,C004,Carlos Flores,monitor,Activo,No conecta bien,02/01/2024,12/01/2024,no,Completada,10,1737,Paraguay,62.7,91.68
D0082,C001,Mariana Sanchez,monitor,En mantenimiento,No reconoce los datos,08/02/2023,16/10/2023,no,Pendiente,250,2779,Paraguay,70.78,81.82
D0083,C005,Paula Lopez,gps,En mantenimiento,Desconexion espontanea,03/07/2023,16/06/2024,no,Pendiente,349,2080,Barbados,60.44,91.48
D0084,C002,Isabel Hernandez,camara,En mantenimiento,Imagen borrosa,13/12/2024,22/12/2024,si,Completada,9,2905,El Salvador,69.03,98.18
D0085,C008,Jorge Morales,camara,En mantenimiento,No conecta bien,24/04/2024,28/07/2024,si,Pendiente,95,1566,Bolivia,78.25,94.47
D0086,C001,Gabriel Rodriguez,monitor,Inactivo,No reconoce los datos,28/05/2023,30/12/2023,si,Completada,216,2240,Bolivia,52.58,91.72
D0087,C010,Diego Gomez,camara,En mantenimiento,Desconexion espontanea,30/07/2023,21/07/2024,no,Completada,357,2537,Cuba,51.52,86.8
D0088,C009,Carlos Hernandez,camara,Activo,Imagen borrosa,20/10/2023,28/01/2024,si,Pendiente,100,1584,Panama,60.33,85.84
D0089,C006,Jorge Torres,camara,Activo,No conecta bien,21/09/2023,06/01/2024,no,Completada,107,2353,Peru,55.49,81.99
D0090,C008,Ana Diaz,monitor,Inactivo,No reconoce los datos,02/07/2024,12/08/2024,si,Pendiente,41,2360,Nicaragua,71.55,92.69
D0091,C007,Elena Mendoza,gps,En mantenimiento,Desconexion espontanea,12/08/2023,20/11/2024,no,Pendiente,466,2215,Costa Rica,50.1,85.63
D0092,C005,Elena Martinez,monitor,Inactivo,Imagen borrosa,08/12/2024,08/12/2024,si,Pendiente,0,1722,Guatemala,71.09,93.08
D0093,C003,Carlos Vargas,gps,Activo,No conecta bien,08/10/2023,04/08/2024,si,Pendiente,301,2797,Belice,55.3,88
D0094,C008,Andrea Vargas,camara,Activo,No reconoce los datos,17/11/2023,04/03/2024,no,Completada,108,2719,Saint Kitts y Nevis,66.04,82
D0095,C004,Maria Flores,camara,Activo,Desconexion espontanea,27/06/2024,05/09/2024,si,Completada,70,2044,Bolivia,55.6,89.76
D0096,C007,Paula Sanchez,monitor,Inactivo,Imagen borrosa,04/03/2023,18/08/2024,si,Pendiente,533,1511,Peru,70.26,92.11
D0097,C008,Andrea Garcia,gps,Inactivo,No conecta bien,27/05/2024,04/12/2024,si,Completada,191,2036,Santa Lucia,76.72,92.92
D0098,C004,Juan Sanchez,monitor,Inactivo,No reconoce los datos,05/09/2023,06/12/2024,no,Pendiente,458,2709,Saint Kitts y Nevis,57.84,89.82
D0099,C007,Antonio Gonzalez,camara,Activo,Desconexion espontanea,31/12/2023,17/10/2024,si,Completada,291,1576,Antigua y Barbuda,77.09,84.13
D0100,C009,Francisco Cruz,camara,En mantenimiento,Imagen borrosa,14/11/2024,14/11/2024,no,Completada,0,2605,Surinam,79.98,81.1
D0101,C006,Jorge Ortega,camara,Inactivo,No conecta bien,27/01/2024,17/03/2024,no,Completada,50,2805,San Cristobal y Nieves,77.65,83.57
D0102,C008,Jorge Ortega,gps,En mantenimiento,No reconoce los datos,17/09/2024,30/11/2024,no,Pendiente,74,2902,Paraguay,50.35,86.21
D0103,C002,Luis Lopez,monitor,Activo,Desconexion espontanea,10/11/2023,13/09/2024,no,Pendiente,308,2269,Dominica,55.96,80.8
D0104,C006,Antonio Ortega,monitor,Activo,Imagen borrosa,05/08/2024,29/08/2024,no,Completada,24,2628,Brasil,75.92,82.89
D0105,C007,Raul Hernandez,camara,Activo,No conecta bien,08/11/2024,17/11/2024,si,Completada,9,1857,Saint Kitts y Nevis,68.99,98.59
D0106,C008,Juan Diaz,gps,Activo,No reconoce los datos,24/08/2024,01/11/2024,si,Completada,69,1618,Argentina,59.83,81.73
D0107,C007,Sofia Vargas,gps,Inactivo,Desconexion espontanea,17/11/2023,05/06/2024,no,Pendiente,201,1792,Honduras,55.43,86.85
D0108,C005,Jorge Martinez,gps,Inactivo,Imagen borrosa,13/01/2024,14/11/2024,si,Pendiente,306,2363,Belice,65.8,95.69
D0109,C004,Andrea Ramos,camara,Activo,No conecta bien,11/11/2023,09/10/2024,no,Completada,333,1897,Mexico,75.2,87.58
D0110,C002,Juan Morales,monitor,Inactivo,No reconoce los datos,26/06/2023,23/01/2024,si,Pendiente,211,2371,Nicaragua,76.86,83.4
D0111,C007,Diego Mendoza,monitor,Activo,Desconexion espontanea,20/04/2024,11/12/2024,no,Pendiente,235,1528,Dominica,77.58,98.46
D0112,C005,Ana Garcia,camara,Inactivo,Imagen borrosa,06/05/2023,06/12/2024,si,Pendiente,580,2911,El Salvador,54.89,91.91
D0113,C009,Ana Gomez,gps,Inactivo,No conecta bien,09/09/2024,20/12/2024,si,Completada,102,2590,Saint Vincent y las Granadinas,69.1,88.91
D0114,C010,Lucia Martinez,monitor,Inactivo,No reconoce los datos,17/02/2023,14/12/2023,no,Pendiente,300,1682,Paraguay,70.19,99.28
D0115,C010,Eduardo Hernandez,gps,Activo,Desconexion espontanea,02/10/2023,01/11/2024,si,Completada,396,2236,Surinam,77.74,82.16
D0116,C008,Paula Torres,gps,Activo,Imagen borrosa,04/07/2024,14/09/2024,no,Completada,72,1915,Nicaragua,51.11,98.96
D0117,C010,Miguel Cruz,camara,En mantenimiento,No conecta bien,28/08/2024,01/09/2024,no,Pendiente,4,1983,Paraguay,55.5,92.38
D0118,C008,Jorge Lopez,monitor,Inactivo,No reconoce los datos,28/10/2024,20/12/2024,no,Pendiente,53,2579,Panama,66.11,81.33
D0119,C004,Lucia Diaz,camara,Activo,Desconexion espontanea,25/11/2023,05/03/2024,si,Pendiente,101,2084,Panama,72.32,94.72
D0120,C003,Antonio Ramirez,monitor,Activo,Imagen borrosa,06/06/2024,11/11/2024,no,Pendiente,158,1721,Guatemala,58.07,82.4
D0121,C010,Juan Castillo,monitor,Activo,No conecta bien,18/03/2024,16/10/2024,no,Pendiente,212,1824,Saint Lucia,75.22,96.6
D0122,C001,Fernando Perez,gps,Inactivo,No reconoce los datos,08/02/2023,22/04/2024,no,Completada,439,2628,Argentina,59.64,99.03
D0123,C007,Carlos Morales,gps,En mantenimiento,Desconexion espontanea,04/05/2024,21/12/2024,si,Pendiente,231,2192,Republica Dominicana,72.3,92.57
D0124,C010,Valeria Flores,camara,En mantenimiento,Imagen borrosa,04/11/2023,19/09/2024,no,Pendiente,320,1843,Ecuador,63.42,83.16
D0125,C007,Alejandra Diaz,camara,En mantenimiento,No conecta bien,20/03/2023,25/11/2023,si,Pendiente,250,2053,Trinidad y Tobago,62.91,84.54
D0126,C010,Diego Hernandez,monitor,En mantenimiento,No reconoce los datos,20/04/2024,22/04/2024,no,Pendiente,2,2375,Paraguay,53.98,92.36
D0127,C002,Paula Rodriguez,monitor,En mantenimiento,Desconexion espontanea,09/07/2024,13/07/2024,no,Pendiente,4,2229,Belice,59.56,90.12
D0128,C007,Fernando Sanchez,monitor,Inactivo,Imagen borrosa,15/01/2024,12/05/2024,no,Pendiente,118,2303,Uruguay,70.92,82.06
D0129,C002,Jorge Lopez,camara,Activo,No conecta bien,21/03/2024,21/03/2024,no,Pendiente,0,2875,Cuba,73.2,97.8
D0130,C002,Carmen Perez,gps,En mantenimiento,No reconoce los datos,27/01/2023,01/07/2023,no,Completada,155,2488,Costa Rica,79.59,85.26
D0131,C009,Jorge Ramos,monitor,En mantenimiento,Desconexion espontanea,18/07/2024,23/09/2024,si,Completada,67,2703,Peru,62.22,97.35
D0132,C005,Gabriel Diaz,camara,Inactivo,Imagen borrosa,21/11/2023,01/10/2024,no,Completada,315,2142,Dominica,61.67,86.79
D0133,C001,Diego Martinez,gps,En mantenimiento,No conecta bien,09/04/2024,22/05/2024,no,Pendiente,43,2648,San Cristobal y Nieves,60.5,83.92
D0134,C003,Diego Cruz,camara,En mantenimiento,No reconoce los datos,10/11/2023,11/11/2023,no,Completada,1,2136,Costa Rica,52.79,86.14
D0135,C006,Elena Ramos,monitor,Activo,Desconexion espontanea,14/11/2024,25/11/2024,si,Pendiente,11,1773,Belice,79.39,90.58
D0136,C005,Alejandra Gonzalez,camara,Inactivo,Imagen borrosa,23/09/2023,26/07/2024,no,Pendiente,307,2329,Antigua y Barbuda,74.32,88.01
D0137,C007,Eduardo Sanchez,monitor,En mantenimiento,No conecta bien,27/09/2024,06/12/2024,no,Pendiente,70,2906,Mexico,62.87,97.18
D0138,C010,Lucia Castillo,monitor,Activo,No reconoce los datos,27/03/2023,06/09/2023,no,Completada,163,2836,Barbados,70.37,96.48
D0139,C008,Alejandra Flores,monitor,Activo,Desconexion espontanea,25/01/2024,24/07/2024,si,Pendiente,181,2603,Panama,70.41,85
D0140,C007,Luis Morales,gps,Activo,Imagen borrosa,17/02/2023,24/11/2023,si,Completada,280,2931,Venezuela,72.63,85.31
D0141,C005,Carmen Mendoza,camara,Activo,No conecta bien,13/05/2024,09/11/2024,si,Pendiente,180,1727,Bolivia,52.52,96.65
D0142,C002,Carmen Lopez,gps,Activo,No reconoce los datos,29/04/2024,26/06/2024,no,Completada,58,2112,Colombia,76.95,81.03
D0143,C006,Fernando Ramirez,camara,Activo,Desconexion espontanea,10/11/2024,05/12/2024,si,Completada,25,2260,Jamaica,77.13,84.64
D0144,C003,Juan Lopez,monitor,Activo,Imagen borrosa,17/10/2024,11/11/2024,si,Pendiente,25,2144,Chile,70.41,92.05
D0145,C002,Carlos Vargas,gps,Inactivo,No conecta bien,31/03/2024,27/12/2024,no,Completada,271,2520,Chile,66.97,94.57
D0146,C006,Paula Cruz,monitor,Activo,No reconoce los datos,03/12/2024,20/12/2024,si,Completada,17,1977,Bolivia,65.27,86.58
D0147,C008,Andrea Rodriguez,gps,Activo,Desconexion espontanea,27/03/2024,03/08/2024,no,Completada,129,2660,Uruguay,69.07,87.98
D0148,C010,Andrea Mendoza,monitor,Inactivo,Imagen borrosa,14/03/2023,23/04/2024,no,Pendiente,406,1683,Uruguay,67.3,86.3
D0149,C006,Maria Lopez,gps,En mantenimiento,No conecta bien,22/03/2023,02/06/2024,si,Completada,438,1952,Guatemala,70.54,82.21
D0150,C001,Alejandra Ramos,monitor,Inactivo,No reconoce los datos,28/02/2024,02/10/2024,no,Pendiente,217,2147,Saint Lucia,55.25,99.41
D0151,C007,Miguel Castillo,camara,En mantenimiento,Desconexion espontanea,18/05/2023,23/04/2024,no,Completada,341,2243,Bolivia,53.6,99.25
D0152,C005,Carmen Rodriguez,monitor,En mantenimiento,Imagen borrosa,24/02/2023,24/06/2024,no,Completada,486,2380,Granada,62.39,92.79
D0153,C007,Lucia Torres,gps,En mantenimiento,No conecta bien,28/09/2023,13/12/2024,si,Pendiente,442,1888,Jamaica,77.34,89.24
D0154,C009,Fernando Gonzalez,monitor,En mantenimiento,No reconoce los datos,31/01/2023,18/03/2023,no,Completada,46,2660,Honduras,60.17,82.38
D0155,C008,Luis Martinez,monitor,Activo,Desconexion espontanea,21/05/2024,20/08/2024,si,Completada,91,2946,Brasil,76.84,83.51
D0156,C006,Eduardo Perez,monitor,En mantenimiento,Imagen borrosa,18/01/2023,22/02/2024,no,Pendiente,400,2501,Honduras,63.15,98.96
D0157,C008,Raul Perez,camara,Inactivo,No conecta bien,14/04/2023,28/09/2024,si,Completada,533,1531,Granada,52.89,87.08
D0158,C008,Luis Morales,gps,En mantenimiento,No reconoce los datos,21/04/2024,10/12/2024,si,Completada,233,2358,Surinam,69.61,87.06
D0159,C004,Luis Flores,camara,Inactivo,Desconexion espontanea,25/06/2024,12/09/2024,si,Completada,79,2502,Brasil,71.42,86.13
D0160,C005,Antonio Ortega,monitor,Inactivo,Imagen borrosa,19/01/2023,18/03/2023,no,Pendiente,58,1564,Bahamas,62.93,81.59
D0161,C008,Sofia Diaz,monitor,Inactivo,No conecta bien,04/12/2024,16/12/2024,si,Pendiente,12,2205,Costa Rica,58.47,84.1
D0162,C004,Carmen Torres,camara,Activo,No reconoce los datos,23/08/2024,11/09/2024,si,Completada,19,2333,Guyana,56.6,97.13
D0163,C008,Luis Mendoza,camara,Inactivo,Desconexion espontanea,07/08/2024,10/08/2024,no,Pendiente,3,2804,Trinidad y Tobago,79.58,83.12
D0164,C005,Eduardo Perez,monitor,En mantenimiento,Imagen borrosa,03/02/2024,22/06/2024,no,Pendiente,140,2646,Uruguay,65.81,99.86
D0165,C004,Raul Mendoza,gps,En mantenimiento,No conecta bien,17/01/2023,03/12/2024,si,Pendiente,686,2628,Saint Kitts y Nevis,69.59,93.7
D0166,C009,Elena Hernandez,monitor,En mantenimiento,No reconoce los datos,10/06/2024,18/10/2024,no,Pendiente,130,2426,Brasil,61.03,95.35
D0167,C002,Valeria Sanchez,camara,Activo,Desconexion espontanea,31/10/2024,20/11/2024,no,Completada,20,2752,El Salvador,68.84,88.08
D0168,C007,Francisco Gomez,gps,En mantenimiento,Imagen borrosa,28/06/2023,09/12/2024,si,Completada,530,2850,Saint Lucia,56.2,90.05
D0169,C010,Gabriel Vargas,monitor,Activo,No conecta bien,22/09/2024,04/10/2024,si,Pendiente,12,2299,Costa Rica,56.43,95.74
D0170,C008,Mariana Flores,camara,Activo,No reconoce los datos,21/08/2024,03/09/2024,si,Pendiente,13,2795,Dominica,61.34,91.82
D0171,C004,Mariana Garcia,gps,Inactivo,Desconexion espontanea,01/01/2023,06/07/2023,no,Pendiente,186,2832,Jamaica,57.65,89.87
D0172,C004,Antonio Garcia,monitor,Activo,Imagen borrosa,15/08/2023,16/11/2023,si,Completada,93,2347,Ecuador,72.03,87.3
D0173,C007,Paula Ramos,gps,Inactivo,No conecta bien,23/09/2023,27/03/2024,si,Completada,186,2790,Jamaica,53.18,94.05
D0174,C002,Fernando Ramirez,monitor,Inactivo,No reconoce los datos,17/03/2024,26/05/2024,no,Pendiente,70,2881,Saint Vincent y las Granadinas,56.39,96.27
D0175,C005,Valeria Hernandez,monitor,En mantenimiento,Desconexion espontanea,09/11/2023,24/09/2024,si,Pendiente,320,2737,Peru,59.19,90.76
D0176,C010,Sofia Morales,monitor,En mantenimiento,Imagen borrosa,08/02/2024,11/10/2024,si,Completada,246,1949,Jamaica,57.2,98.53
D0177,C001,Eduardo Cruz,monitor,En mantenimiento,No conecta bien,08/01/2023,11/06/2024,si,Pendiente,520,1621,Guyana,55.68,89.06
D0178,C006,Maria Flores,monitor,En mantenimiento,No reconoce los datos,25/12/2023,30/08/2024,no,Pendiente,249,1746,Paraguay,51.96,90.66
D0179,C006,Lucia Vargas,camara,En mantenimiento,Desconexion espontanea,29/10/2024,08/12/2024,si,Completada,40,2851,Nicaragua,79.18,96.47
D0180,C003,Ana Ramos,monitor,Inactivo,Imagen borrosa,14/03/2024,22/11/2024,si,Pendiente,253,2526,Paraguay,64.96,93.76
D0181,C008,Miguel Lopez,camara,Inactivo,No conecta bien,09/10/2024,23/10/2024,si,Pendiente,14,2211,Saint Lucia,57.26,96.14
D0182,C003,Luis Rodriguez,camara,En mantenimiento,No reconoce los datos,12/11/2024,29/11/2024,no,Completada,17,2620,Paraguay,74.18,88.25
D0183,C003,Alejandra Vargas,camara,En mantenimiento,Desconexion espontanea,09/05/2023,28/03/2024,si,Completada,324,1686,Bolivia,70.66,99.62
D0184,C009,Diego Ramirez,gps,Inactivo,Imagen borrosa,06/08/2023,06/06/2024,no,Completada,305,2243,Guatemala,55.73,98.88
